Company Name,Last Update of this Information,Contact Email,Logo,Website,Country of HQ,Countries of Operation / Service,Company Size (# Employees),Year Founded,Legal Entity Name,Primary Focus,Subdomains,Technologies,Service Type,Target Customer,Short Description (about 500 words)
MEGWARE,2026-01-06,info@megware.com,https://www.megware.com/fileadmin/megware/images/megware.svg,https://www.megware.com/,Germany,Europe,52,1992,MEGWARE Computer Vertrieb und Service GmbH,HPC Systems Provider; AI Systems Provider;,Consulting; Software Integration; System Design; System Integration; System Deployment; System Support; System Management; System Scaling; System Monitoring; Performance Optimization; Energy Efficiency Optimization; Training; Benchmarking;,CPUs; GPUs; Accelerators; Heterogeneous Systems; Low Latency Interconnects; Networking; Storage; Filesystems; Cooling; Liquid Cooling; Energy Optimization; Management; Scheduling; Benchmarking; Containerization; Virtualization; Infrastructure; Security;,Consulting; Design; Integration; Deployment; Configuration; Maintenance; Monitoring; Optimization; Upgrades; Training; Support; Troubleshooting; Scaling; Benchmarking; Security;,Industry; Research; Education; Public;,"MEGWARE Computer Vertrieb und Service GmbH is one of Europe’s leading providers of high-performance computing (HPC) and AI-ready infrastructure solutions. The company delivers advanced, custom-built systems that enable industrial clients, universities, and research institutions to run HPC and AI applications efficiently, covering the full value chain—from consulting and system design to development, sales, implementation, and long-term service. To date, MEGWARE has successfully delivered more than 1,300 HPC and AI infrastructure projects across Europe and beyond.

Founded in 1990 and headquartered in Chemnitz, Germany, MEGWARE initially established itself as a provider of comprehensive IT solutions. Over nearly three decades, the company has distinguished itself through technological ingenuity, customer proximity, and exceptional flexibility. In 2000, MEGWARE entered the field of high-performance computing with its first major HPC project. The MEGWARE “CLiC” system, developed for Chemnitz University of Technology, achieved the best price-performance ratio worldwide and reached position 126 on the prestigious TOP500 list of the world’s fastest supercomputers.

HPC at MEGWARE

High-performance computing remains MEGWARE’s core business. A dedicated team of HPC engineers develops production-ready systems and software platforms that combine high performance, energy efficiency, and operational reliability. A key in-house hardware development is EUREKA®, a modular, high-density HPC compute platform with fully fanless direct liquid cooling. Designed for extreme power densities and ASHRAE W45 compliance, EUREKA® enables energy-efficient operation, supports heat reuse concepts, and ensures high availability through hot-pluggable components and detailed power and energy monitoring.

AI at MEGWARE

Artificial Intelligence is a rapidly growing focus area within MEGWARE’s technology portfolio, building on its HPC expertise. The company designs and delivers AI-ready infrastructures optimized for machine learning, deep learning, and data-intensive workloads, combining high-performance compute nodes, GPU acceleration, high-speed interconnects, and scalable storage architectures. Leveraging its in-house hardware platforms and software solutions, MEGWARE enables customers to deploy, operate, and scale AI workloads efficiently while maintaining full control over performance, reliability, and total cost of ownership."
Mistral AI,2025-11-20,contact@mistral.ai,https://mistral.ai/images/logo.svg,https://mistral.ai/,France,Global,80,2023,Mistral AI SAS,AI Research & LLM Provider,Large Language Models; Generative AI; Open Source AI;,LLMs; Transformers; PyTorch; Cloud Infrastructure;,Software; API; Model Training;,Enterprise; Developers; Startups;,"Mistral AI is a leading European AI research laboratory based in Paris, focused on developing state-of-the-art open large language models. Founded by former researchers from Meta and DeepMind, Mistral has quickly become a cornerstone of the European AI ecosystem. Their models, such as Mistral 7B and Mixtral 8x7B, are known for their efficiency and high performance, often outperforming much larger closed models.

Mistral AI emphasizes transparency and openness, providing weights for many of their models to enable researchers and developers to build on their work without being locked into proprietary APIs. The company aims to provide a reliable European alternative in the AI space, focusing on data privacy and sovereignty. Their business model includes commercial offerings such as Mistral La Plateforme, providing managed access to their flagship models.

With significant funding and a team of world-class AI engineers, Mistral AI is pushing the boundaries of what is possible with generative AI, ensuring that Europe remains a global leader in artificial intelligence innovation. Their approach to efficient model scaling and sparse architectures has set new standards in the industry, making advanced AI accessible to a wider range of hardware and applications."
DeepL,2025-12-15,support@deepl.com,https://www.deepl.com/img/logo/DeepL_Logo_darkBlue.svg,https://www.deepl.com/,Germany,Global,900,2017,DeepL SE,AI-Powered Translation,Machine Translation; NLP; Linguistic AI;,Neural Networks; Transformers; Proprietary Hardware;,Software; API; Mobile Apps;,Individual; Enterprise; Governments;,"DeepL is a German AI company headquartered in Cologne, renowned for producing the world's most accurate machine translation service. Utilizing advanced neural network architectures, DeepL Translate consistently outperforms competitors by capturing subtle nuances and context that other services often miss. The company's focus on quality and linguistic precision has made it the preferred choice for professional translators and international corporations alike.

Beyond its flagship translation web service, DeepL offers a powerful API for integrating translation into business workflows and a specialized tool for AI-enhanced writing, DeepL Write. DeepL's success is rooted in its proprietary data processing techniques and custom supercomputing hardware, which allow for rapid training and deployment of large-scale language models.

As a global leader in communication AI, DeepL continues to expand its language support and feature set, aiming to break down language barriers across the globe while maintaining a strict commitment to data security and European privacy standards."
SiPearl,2025-10-05,info@sipearl.com,https://sipearl.com/wp-content/themes/sipearl/assets/img/logo.svg,https://sipearl.com/,France,EU,120,2019,SiPearl SAS,High-Performance Microprocessors,Processor Design; ARM architecture; HPC Hardware;,ARM Neoverse; RISC-V; HBM; TSMC 6nm;,Hardware Design; IPs;,HPC Centers; Server OEMs; Cloud Providers;,"SiPearl is a French-based semiconductor company dedicated to designing Rhea, the world's first high-performance, low-power microprocessor for supercomputers. As a key player in the European Processor Initiative (EPI), SiPearl's mission is to secure Europe's technological sovereignty in the high-stakes field of high-performance computing.

The Rhea processor is based on ARM Neoverse technology and is specifically optimized for exascale supercomputing, offering high memory bandwidth and energy efficiency. SiPearl works closely with European partners like Atos and research centers to ensure Rhea meets the demanding requirements of future HPC workloads, from climate modeling to medical research.

By developing its own chip, Europe aims to reduce its dependency on non-European technology for its most critical infrastructure. SiPearl's design philosophy focuses on power efficiency and high performance per watt, addressing the major energy challenges of next-generation supercomputing. The company's roadmap includes future generations of processors that will further integrate European IP and RISC-V components, solidifying Europe's position as a leader in chip design for HPC and AI."
Aleph Alpha,2025-11-30,hello@aleph-alpha.com,https://aleph-alpha.com/wp-content/uploads/2021/04/AlephAlpha_Logo_Vertical.svg,https://aleph-alpha.com/,Germany,EU,70,2019,Aleph Alpha GmbH,AI Research & B2B Solutions,Large Language Models; Multimodal AI; Data Sovereignty;,Luminous Models; Transformers; Multimodality;,Software; API; Consulting;,Public Sector; Finance; Industry;,"Aleph Alpha is a German AI research and application company focused on the development of large-scale generative AI models for B2B and public sector applications. Based in Heidelberg, the company is known for its Luminous model family, which offers state-of-the-art performance in multiple European languages.

A key differentiator for Aleph Alpha is its commitment to data sovereignty, transparency, and traceability, making its solutions particularly attractive for highly regulated industries and government entities. Their technology is designed to be explainable, allowing users to understand the reasoning behind AI-generated outputs, which is critical for trust and compliance.

Aleph Alpha operates its own high-performance compute infrastructure to train its models, ensuring full control over the AI lifecycle. By focusing on industrial and complex administrative use cases, Aleph Alpha is positioning itself as Europe's leading provider for critical AI applications that require more than just creative text generation—they require reliability, security, and a deep understanding of European values and regulatory frameworks."
Eviden (Atos),2025-09-20,contact@eviden.com,https://eviden.com/wp-content/themes/eviden/assets/images/logo-eviden.svg,https://eviden.com/,France,Global,47000,2023,Eviden SAS (Atos Group),HPC & Digital Transformation,Supercomputing; Cybersecurity; Cloud; AI;,BullSequana; Quantum Computing; AI Accelerators;,Systems; Services; Software;,Research; Defense; Industry;,"Eviden, part of the Atos Group, is a global leader in data-driven, trusted, and sustainable digital transformation. As Europe's premier supercomputing manufacturer, Eviden produces the BullSequana range of supercomputers, which power some of the world's most advanced research centers.

Eviden's expertise spans the entire spectrum of high-performance computing, from hardware design and integration to software development and cybersecurity. The company is also at the forefront of quantum computing research, offering a quantum computing simulation platform to prepare researchers for the post-NISQ era.

Eviden integrates AI capabilities into its HPC solutions, enabling hybrid workloads that combine traditional simulation with machine learning. With a strong presence in defense and national security, Eviden's solutions are built with a focus on sovereignty and high-level protection. The company's commitment to sustainability is reflected in its liquid cooling technologies and energy-efficient systems, aiming to minimize the environmental impact of large-scale computing. Eviden serves a diverse range of clients, from academic institutions to Fortune 500 companies, providing the compute power necessary to solve the world's most complex challenges."
Pasqal,2025-11-10,contact@pasqal.com,https://pasqal.com/wp-content/uploads/2021/11/logo_pasqal.svg,https://pasqal.com/,France,Global,150,2019,Pasqal SAS,Quantum Computing Hardware,Neutral Atom Quantum Computing; Quantum Simulation;,Neutral Atoms; Laser Trapping; Quantum Softwares;,Hardware; Quantum-as-Service; Software;,Finance; Energy; Logistics; Pharma;,"Pasqal is a French quantum computing company that builds quantum processors from neutral atoms. Founded by Nobel Prize winner Alain Aspect and other leading physicists, Pasqal is developing a scalable and powerful quantum platform capable of solving problems that are currently beyond the reach of classical supercomputers.

Their technology uses lasers to trap and manipulate individual atoms, turning them into programmable qubits. This approach offers significant advantages in scaling to hundreds and eventually thousands of qubits while maintaining high coherence.

Pasqal is not only a hardware provider but also develops a full software stack, including the Pulser environment, to enable users to program their quantum processors for specific use cases in optimization, materials science, and drug discovery. The company has already established partnerships with major industrial players like Eni and BMW, demonstrating the practical application of their quantum technology. Pasqal is a key contributor to the European quantum ecosystem, aiming to provide exascale-class quantum advantage within this decade."
Graphcore (EU Operations),2025-08-15,info@graphcore.ai,https://www.graphcore.ai/hubfs/logos/Graphcore_Logo_Black.svg,https://www.graphcore.ai/,Norway/UK,Global,600,2016,Graphcore Norway AS / Graphcore Ltd.,AI Processors & Systems,IPU Design; Machine Learning Hardware;,Intelligence Processing Unit (IPU); Poplar SDK;,Hardware; Systems; Software;,Financial Services; Healthcare; Research;,"Graphcore is a semiconductor company that has developed a new type of processor, the Intelligence Processing Unit (IPU), specifically designed for artificial intelligence. While headquartered in the UK, Graphcore has significant operations and a strong European focus, recently becoming a part of the SoftBank family with continued R&D in Norway and across the EU.

The IPU architecture is uniquely suited to the sparse and high-dimensional computations required by modern machine learning models, offering significant performance gains over traditional GPUs. Graphcore's Poplar software stack makes it easy for developers to adapt their existing models from frameworks like TensorFlow and PyTorch to the IPU.

Their systems, ranging from individual accelerator cards to the Bow Pod supercomputers, are being used by research institutes and companies to accelerate breakthroughs in everything from climate modeling to medical imaging. Graphcore's focus on innovative chip architecture reflects the global shift towards specialized AI hardware, with the company aiming to provide the most efficient platform for the next generation of AI research."
EuroHPC JU,2025-12-01,contact@eurohpc-ju.europa.eu,https://eurohpc-ju.europa.eu/themes/custom/eurohpc/logo.svg,https://eurohpc-ju.europa.eu/,Luxembourg,EU,50,2018,European High Performance Computing Joint Undertaking,HPC Infrastructure & R&D,Supercomputing Infrastructure; Quantum Computing;,LUMI; LEONARDO; MARENOSTRUM; JUPITER;,Grants; Infrastructure Access;,Researchers; SMEs; Universities;,"The European High Performance Computing Joint Undertaking (EuroHPC JU) is a legal and funding entity created in 2018 to enable the European Union and EuroHPC participating countries to coordinate their efforts and pool their resources with the objective of making Europe a world leader in supercomputing.

This includes developing a world-class supercomputing ecosystem, acquiring and deploying in the EU a world-class supercomputing and data infrastructure, and supporting the development of innovative supercomputing technologies and applications. EuroHPC JU has co-funded the acquisition of several of the world's fastest supercomputers, such as LUMI in Finland, Leonardo in Italy, and MareNostrum 5 in Spain, and is currently preparing for the first European exascale system, JUPITER.

These systems are available to European researchers and industrial users, including SMEs, to run large-scale simulations and AI workloads. Through its research and innovation agenda, EuroHPC JU also supports the development of European hardware and software components, fostering a sovereign and competitive European HPC supply chain."
IQM Quantum Computers,2025-12-10,contact@meetiqm.com,https://www.meetiqm.com/static/img/logo.svg,https://www.meetiqm.com/,Finland,EU,280,2018,IQM Finland Oy,Quantum Computing Hardware,Superconducting Qubits; Quantum Processors;,Superconducting circuits; Fabrication; QASM;,Hardware; Systems; IP;,Supercomputing Centers; Enterprise; Research;,"IQM is the European leader in building quantum computers. Based in Espoo, Finland, the company builds quantum processors for supercomputing centers and industrial customers using superconducting qubit technology.

IQM is unique in its approach of developing application-specific quantum processors, co-designing hardware and software to solve specific problems more efficiently. They have delivered the first Finnish commercial quantum computer and are a key partner in several European quantum initiatives, including the development of Germany's first world-class quantum computer.

IQM's full-stack approach encompasses everything from chip design and fabrication in their own cleanroom facility to the development of the software stack and user interface. The company aims to achieve quantum advantage through a combination of high-fidelity qubits and optimized architectures, positioning Europe as a key player in the global quantum race. With offices across Europe, IQM is building a pan-European quantum ecosystem, collaborating with research institutes and industrial partners to bring quantum computing to practical use."
